asin,rating,reviews,stopwords,punctuation,hastags,numerics,upper,word_count,char_count,avg_word,Good_reviews,polarity,subjectivity
B07HBDNGHC,4.0,auf die funktion der box gehe ich nur kurz ein da die toniebox doch sehr bekannt ist und das prinzip sogar für einen 2 jährigen leicht verständlich istdie box wurde schnell geliefert gibt es schönen farben beim starter set mit kreativ tonie ist nicht zu groß das kleine kinder es gut herumtragen können ist ummantelt mit leicht gefütterten robusten stoff und somit recht robust und auch sicher für kinderes hat 2 ohren für laut und leisefür das einrichten wird wlan benötigt wird ein tonie drauf gesetzt spielt es direkt ab leuchtet es blau wird der inhalt während dem abspielen herunter geladen grün bedeutet alles super und rotorange das die batterie bald alle isthaut man seitlich auf die box kann man ein kapitel vor oder zurück springender ton ist sich okay bis gut aber nicht herausragend und für den hohen preis gerade noch akzeptabeldie figuren dafür sind niedlich und werden ebenfalls gerne bespielt nachteil hier ist dass die farbe der tonies bei uns streifen auf der glatten weissen fläche der box hinterlassen wenn die kinder diese zu grob auf die box stellen sieht nicht schön ausder größte nachteil ist hier jedoch der immer heftig werdende preisdie box bringt nunmal ohne diese teuren kleinen figuren nichts und diese kosten bereits 17 und haben eine laufzeit von minimal 30min und maximal 90 min im schnitt jedoch meistens um die 50ärgerlich ist auch das man nicht immer einsehen kann sich nun auf den tonies für lieder usw befindet auf der verpackung ist zwar eine angeklebte liste die man aufmachen müsste dies wird jedoch von verkäufern garnicht gerne gesehenauch bei amazon wird nicht immer angezeigt drauf ist gucken wir immer auf der hauptseite der tonie homepage das ist und ob es altersgeeignet istdie frage ist ob andere boxen wie zb die tigerbox nicht doch bald lohnenswerter istdie tonies lösen jedoch bei vielen gerade auch den eltern eine sammersucht aus und selbst im gebrauchten zustand werden die tonies für um die 10 gehandeltes ist also ein recht teurer spass aber definitiv ein spass mein sohn liebt die box ebenfalls wie fast jedes kinddie toniebox sehr teuer sehr geliebt,165,43,0,3,0,352,2108,5.0,1.0,0.23,0.59
B07HBDNGHC,4.0,ich hielt die toniebox immer für einen überteuerten lautsprecher mit überteuerter musikhörbuch softwareirgendwann habe ich mich dann doch dazu entschlossen unserer kleinen eine box zu kaufen nun ist die toniebox bei uns seit über einem jahr im einsatz und ich möchte allen interessenten hier meine erfahrungen mit der toniebox teilenfür alle die sich für das teil interessieren habe ich eine kleine zusammenstellung gemacht und unten gibt es dann eine kurze liste mit vor und nachteilen wie mein persönliches fazitnatürlich gbt es neben der toniebox viele alternativen welche deutlich günstiger sind aber bei der toniebox haben die bespielbaren figuren einen gewissen mehrwertich verstehe aber jeden der seinem kind einen kassettenspieler mit alten hörspielkasetten kauft oder einn mp3 player mit geschichten bespieltwas ist die tonieboxdie toniebox ist ein lautsprecher mit einer nfc schnittstelle auf dieser werden die separat erhältlichen toniefiguren draufgestellt und die hörspielelieder werden gestartetbei der ersten benutzung und das ist ganz wichtig muss man zuerst ein toniekonto anlegen und das ganze frei schalten lassen hierzu wird die app auf dem handy oder die software auf dem pc benötigtdas ist schon ein bisschen ein aufwand und das sollte vor dem verschenken erfolgen da die kleinen die toniebox sonst nicht sofort nutzen könnenwerden das heißt also sofern man das ganze nach dem schenken sofort dem kind zeigen möchte muss man vorher die box samt tonie öffnen und frei schalten bzw herunterladen sind die daten aber erst einmal drauf gehen sie nicht mehr verlorenkauft man nun einen neuen tonie muss auch hier wieder diese neue audiodatei frei geschaltet und auf dem tonie übertragen werdendas ganze ist ähnlich wie bei einem tiptoi stift wenn es neue bücher gibtbeim installieren neuer tonies hat der hersteller nachgebessert und reicht jetzt schon das draufstellen ist die datei der cloud hochgeladen erfolgt ein signaltonnicht nur das design der toniebox ist kindgerecht auch die bedienung ist für kinder sehr intuitiv und einfach gehalten stoppt das abspielen wenn die figur herunter genommen wird und die lautstärke wird durch drücken der süßen ohren geregelthält man die box schräg wird vor bzw zurückgespult uswpositiv sei auch erwähnt dass sich die box nach 10 minuten selbsttätig ausschaltet apropos es ist ein akku verbaut welcher für bis zu 7std hörspaß ohne kabel sorgtgeht der saft aus lässt sich die box einfach auf die ladestation stellen ganz ohne steckergefummel dass es auch kleinere kinder hin bekommenleider ist ladezeit mit bis zu 3std recht hoch ausgefallenein nachteil ist allerdings auch ein fehlendes display ist es schwierig wenn man spezielle lieder hören möchte oder eine eine bestimmte stelle zu spulendas tonie sortiment ist wirklich sehr umfangreich und bietet viele unzählige geschichten von den zahlreichen kinderhelden benjamin blümchen bibi blocksberg rabe socke dr brumm olchi die maus tigerente conni der kleine prinz sandmann grüfelo bibi und tina drache kokosnuss die kleine hexe usw zudem gibt es noch märchentonies und tonies mit kinderliedern für die kleinen bis hin zu der band unter meinem bettdie figuren sind alle recht nett gestaltet und halten einiges aus somit haben die kinder neben dem dazugehörigen hörspiel auch noch eine figur zum spielenbei den tonies mit kinderliedern gibt es aber unterschiede bei der tonqualität als auch bei der liederauswahl haben wir einen tonie mit kinderliedern der spitze ist und einen mit schlafliedern der rote fuchs bei dem schwankt die lautstärke und die lieder wurden teils mit dialekt oder etwas seltsam eingesungenkreativ tonies können mit einer länge von bis zu 90min selbst bespielt werden hierfür braucht man aber natürlich wieder die app und eine internetverbindung da die daten erst die cloud und dann auf die box kommen dafür sind die kreativ tonies dann aber etwas ganz persönliches und besonderes und können auch aktualisiert werdengenerell gilt bespielte tonies können nicht bespielt werden dies kann man ausschließlich mit kreativ tonies machenglücklicherweise gibt es einen klinkenanschluss dass man einen kopfhörer anschließen kann dann können die kleinen auch während der autofahrt ihre tonies genießen ohne das die eltern durchdrehenleider gibt es weder eine usb schnittstelle noch einen sd card steckplatz oder bluetooth man ist also dem toniezwang untergeordnet da das system aber gut funktioniert geht das ordnung jedoch kann das ganze mit der zeit teuer werden auf der anderen seite sind tonies auch eine nette geschenkidee für freunde und verwandtevorteile der tonieboxsehr gut verarbeitetweich gepolstert und stoßfestkindgerechtes design und bedienungguter klang für die größespeicher für ca 400std tonmaterialumfangreiches toniesortiment mit schönen geschichtenliedernrobuste spielfiguren mit denen das tonmaterial abgespielt wirdkreativtonies zum selber bespielen mit eigenen geschichten liedern nachrichten uswwertstabil sollten die kinder die box nicht mögen kann man sie wieder gut verkaufenkeine zerkratzten cds mehr die rumfliegenakku mit bis zu 7std spielzeiteinfache ladestation auch kinderfreundlichklinkenanschluss für einen kopfhörer ideal für die autofahrtnachteile der tonieboxmit 12x12cm nicht ganz groß geratenhoher anschaffungspreistoniefiguren recht teuer zwischen 12 und 15 im angebot zwischen 9 und 12die laufzeit der tonies schwankt zwischen 30 und 90minvor der nutzung neuer figuren muss das hörmaterial heruntergeladen werdenwidergabe nur mit tonies möglich kein usb sd card slot oder ähnlichesdas hörspiellieder des tonies gibt es nur zum abspielen auf der tonieboxder leere akku braucht ca 3std bis zur vollladungtonies mit liedern können von der qualität stark schwankenohne display ist es schwierig spezielle gewünschte lieder oder stellen bei hörbüchern zu spulenskippenfazitdie lautsprecher box könnte etwas größer sein dafür ist der klang allerdings besser als gedacht und die bedienung als auch das design sind wirklich sehr kindgerecht gehaltenzudem ist das teil gut gepolstert und verträgt auch den einen oder anderen sturzdie erste inbetriebnahme ist etwas aufwendiger und daher empfiehlt es sich die box vorher auszupacken und vorzubereitendafür bekommt man aber hörspiele und lieder guter qualitätdie separat erhältlichen toniefiguren gibt es zahlreichen ausführungen und da ist wirklich für jeden dabeida die figuren schön gestaltet und recht robust sind haben sie für die kinder einen ungemeinen mehrwert und sie spielen sehr gerne damitmein persönliches highlight sind jedoch die kreativtonies diese lassen sich mit bis zu 90min selbst bespielen spiele ich meine persönlichen gute nacht geschichten und grüße darauf für den urlaub gibt es dann noch einen mit den lieblingsliedernder nachteil der tonies man ist verpflichtet tonies zu meist teureren preisen als die cd kosten würde zu kaufen zudem lässt sich die audiodatei nur auf dem tonie abspielenauch der preis für die toniebox mit ca 80 ist recht hochunsere kleine liebt ihren tonie spielt mit den figuren und hört nun viel musikhörspiele und das macht papa glücklichunsere kleine spielt wirklich sehr oft mit den figuren somit hat die toniebox neben den audiodateien einen gewissen mehrwerttippda die toniebox und die tonies sehr preisstabil sind kommt man meist nur mit rabattgutscheinen bei den größeren händlern günstig daranwenn kaufhäuser oder onlinehändler beispielsweise 20 rabatt auf spielzeug anbieten sollte man hellhörig werden und zuschlagen habe ich meine box für gut 63 bekommen und tonies kosten dann meist zwischen 9 und 12 statt zwischen 12 und 15neutrale bewertung der toniebox nach über einem jahr nutzung,542,174,0,6,7,1135,7647,5.7,1.0,0.5,0.86
B07HBDNGHC,5.0,die box ist ein hübsches gerät leider ist sie nicht robust wie man es von einem gerät für kinder erwartet nach 4 monaten ist das eine ohr schon defektlaut der tonies support seite können diese ohren nur durch zähne oder scheren beschädigt werden es geht auch durch lauter und leiser machenschönes teil leider nicht robust wie gedacht,29,9,0,1,0,57,333,4.9,1.0,0.0,0.0
B07HBDNGHC,5.0,hier muss ich einfach bewertenbin super zufrieden hab die toniebox jetzt seid mai 2021 und kann nur sagen sie ist robust und gut zu bedienen meine kinder lieben sievor kurzem ist mir nun der kreativ tonie kaputt gegangen und ich hab den verkäufer kontaktiert und nun bekomme ich ersatz find ich tollweiter sotoniebox ist einfach super,27,9,0,1,0,56,334,5.0,1.0,0.33,0.67
B07HBDNGHC,5.0,wir lieben die toniebox sie ist mega praktisch super leicht zu bedienen es gibt mega viele figuren zur auswahlkönnen sie wirklich jeden empfehlen100 empfehlung,9,3,0,0,0,24,159,5.7,1.0,0.33,0.67
B07HBDNGHC,5.0,die box wird oftmals unterschätzt wer sie besitzt möchte nicht mehr darauf verzichten die kinder lieben sie geht auch bei sturz nicht kaputt leicht zu bedienen auch von kleinen kindern sehr klare sprache angenehmer ton und lautstärke ist schon die zweite meine enkelin liebt ihre sei 3 jahren nun noch eine für das kind meiner klientin die tonies kann man altersentsprechend kaufen super teilsuper,27,12,0,1,0,64,397,5.2,1.0,0.47,0.78
B07HBDNGHC,5.0,super schnelle lieferung für die kinder ideal viel freude zuhören mitsingen uä kann ich bestens weiterempfehlentoniebox,5,7,0,0,0,16,119,6.5,1.0,0.62,0.83
B07HBDNGHC,5.0,hab die toniebox für meine kindergartenkinder gekauft da sie leicht der handhabung und gefahrlos von kindern genutzt werden kann sie ist der hit und die kinder lieben die box die installation dank anleitung war gut zu bewältigen wenn auch mit viel nachlesen beim ersten mal sie ist leicht und hat eine tolle tonqualität lautstärkenmöglichkeiten können der app eingestellt werden da kann meines erachtens nichts kaputt gehen und die kinder dürfen sie auch alleine benutzen den kreativtonie finde ich toll man kann diesen selbst mit der app besprechen oder selbst gekaufte lieder darauf überspielen sicher auch ein tolles geschenk für eigene kinder neffen nichten uswtolle kleine musikanlage für kinder,54,18,0,0,0,108,700,5.5,1.0,0.0,0.0
B07HBDNGHC,5.0,mir hat dem produkt gut gefallen das es robust ist und es leicht zu bedienen ist für kinderdie toniebox ist sehr gut und stabil,14,1,0,0,0,24,127,4.3,1.0,0.0,0.0
B07HBDNGHC,5.0,wie beschrieben sehr beliebt bei den kindern leicht zu bedienen und unkaputtbartop,6,2,0,0,0,12,82,5.9,1.0,0.0,0.0
