name,rating,description,adress,web_site,good_1,good_2,good_3,bad_1,bad_2,bad_3
Legoland,3.7,Indoor playground,"Potsdamer Str. 4, 10785 Berlin, Germany",legolanddiscoverycentre.com,My son loved it. It is a place to visit with kids and actually I also liked it,"It was pricey but worth the money to spend half a day here. Just make sure you pack food and drinks, as there is only one restaurant and they do not have proper food. They only have snacks and those are also pricey.","You
Can easily spend the entire day here. It has many attractions for the little ones including 4d cinema! Small food corner to buy some basics but certainly amazing environment. You should not miss it!","Complete waste of money. The Berlin lego world is a little interesting, but that's it.

The entrance is strange. You but tickets online but have to stand in a queue with those that haven't got tickets, even though you have to specify a time online what's the point??!!

The cafe doesn't open until 11:30! We got here at 10:15... do they not want to make money? Oh that's right,  they make it from the horrific ticket prices.

My son is 9, seems happy.  If you're asking me, stay home, play your kids instead, because it's essentially that

Don't bother","Not worth the money. Lego is leveraging its name. Poor and small exhibition, overcrowded with no sanitization of Lego bricks, large carousels again not working, dirty toilets .... the list goes on. Save the money. There are many many more places for kids available in Berlin to spend your money on. Many other and better indoor playgrounds available. Actually, if I would be CEO of Lego, this whole center would be under marketing expenses booked and may be charged at cost to consumers. Total rip off. Cannot recommend at all.","Complete waste of time and money - a huge disappointment! Miniland is beautiful and impressive with many fine details, but otherwise there's nothing to look forward to. At the entrance we bought photo passes and activity books. Photo passes gave access to just one photo and one video, and the activity books didn't match the actual conditions. Several pages in the books were not found in the centre. It seemed like some places in the centre had been changed, but they still sell old books, so as an example the children can't collect all the stamps in the book. Don't buy it!

In the laser maze in Ninjago City, you can't see several of the lasers, Merlin's Apprentice was closed, and you can continue like that. It was really disappointing and I don't get why Lego put their name on this place. We've also been to Legoland Discovery Centre in Birmingham, and it's much better and can't be compared to the one in Berlin. Fortunately I had warned our children that when you've been to Legoland in Billund, Legoland Discovery Centre is a disappointment, but the word ""disappointment"" doesn't cover here at all. It was really bad and doesn't even deserve one star!"
Labyrinth Kindermuseum Berlin,4.1,Children's museum,"Osloer Str. 12, 13359 Berlin, Germany",labyrinth-kindermuseum.de,"Recommended for kids 4+. The theme is saving natural environment and educate kids all about nature using toys and many hands-on activities. We had a great 3 hours visit. Plenty of stations to build, explore, learn, paint, etc. there is a outdoor area with tricycle and other toys. My kid enjoyed a lot and had a hard time leaving this place. Staff very kind and friendly. I am glad i found this for my kid.","A wonderful place for children to play, touch, explore and learn in a fun way. My children of 2, 7 and 10 years old loved it. It's absolutely worth the visit even if you come from the other side of town. I guess it depends what you are used to, in France sadly there is nothing that cool for children, so we were amazed. Also we met a friendly lady who works there and speaks 6 languages including French. I recommend +++. It's so cosy, my two year old didn't want to leave and wanted to sleep there.","Well thought out, hands on, play and exploration for kids up to 10 or 11 years old. My 5yo and 10yo played for hours and did not want to leave.
Little coffee shop inside serving coffee and bakery items made it a wonderful experience for theirs mom, too.","Super small poorly done indoor playground. If kids are 2-3 years old, they might find some fluffy toys to olay with. Otherwise it's a waste of money.","Costed 28 Euros( 3 adults and 1 child ) for 1.5 hours of minimal activity.
There were 5 - 6 games outside. The guides didn't care to explain or indulge in the activities. They kind of seems upset with something. Really sad faces.
The games were fine ( Coloring, sorting weights, Questionare, Magnets, Hidden Toys and books ). Total disappointment !!

One of the games were to teach the importance of insects and how to save our ecosystem, and in the end when we were leaving, they were offering dried dead insects to people as snacks ( telling its a good source of protein )","paid 19€ just for 1.5hrs summer program , totally worthless. wont even consider going thr again."
MACHmit! Museum for Children,4.1,Children's museum,"Senefelderstraße 5, 10437 Berlin, Germany",machmitmuseum.de,"Super cool space with different activities for younger kids. My little one had a blast. The staff is very friendly, which is quite rare for Berlin. Great experience!","Very nice place, it is not a museum as one would expect, but there are many activities for kids to do like different sections for different crafts. Theres also a maze in which the kids can climb up, a small mirror maze and lots and lots of kids books.

The kids had so much fun. I would recommend this place.","Fun for the kids! Lots of staff to help out with  painting, button making and printing. And I don't think I've ever seen a place more Berlin then this :) Everything is second hand, re-used and everything in the cafe is organic. And there is beer!","Don't waste your money and time at the MachMit, there was only one person assisting the children (an older lady who did not connect with them at all and was bossing everyone). The tables at the cafe were exclusively for customers, which meant they were empty the whole time while we had to eat out lunch in a damp, dirty basement!! Personnel were utterly unfriendly and the only one thing that looked interesting (a printing station) was closed, of course no one told us of this detail at the time of paying €21 for 3 unhappy visitors!! Visit the Kinder Museum instead, which is great and less pretentious!! There was also an empty half boat and a poor shomaker's shop. Awful.",Rip off. Kids and adults pay the same. 2 adults + 1 kid. 21 euro! And then you have to buy your own drinks or food. Ok for kids not amazing. A total rip off!,Update your opening hours. Your advertising and listed as open. It’s NOT open today or until the 1.1.2020
Little BIG City Berlin,4.2,Museum,"Panoramastraße 1a, 10178 Berlin, Germany",littlebigcityberlin.de,"even if a dwarf puts on huge boots, it's still a dwarf.  And so it's no wonder that this tour of Berlin's gloomy and deprived past seems entertaining.  From the founding of the city in 1237 to the fall of the Wall, it takes about an hour and a half if you also read the information boards.  the museum presents itself modern and tidy thanks to the innovative lighting.  The cheapest tickets are available via Groupon for €10 per person.","Loved the experience and highly recommend. Light instalation and interactive motion activated features were exciting. Berlin tourist card paid off immediately,  just saying.",I am a first grade teacher and I took my class of 25 students there. The museum was laid out in a great way for my students to walk and explore on their own. I felt that it was a great place to take children from grades 1-6 because there is enough to see and stimulate learning as well as advanced information for older learners. The staff was very helpful as they took our jackets and lunches and kept them safe and out of the way while we explored and even helped us with their first aid kid when one student got an “owey.” I highly recommend this museum. I may go back myself!,"One of the most boring attractions I have ever been to 😅🙄
Yet if you love small buildings you might enjoy it
Adding audio guide would have been a plus

Don't go if you don't enjoy German humor or don't want to learn about city of berlin history

The small statues looked nice yet the place was very dispointing to me",Very expensive and not all suitable for young kids. The little interaction there is so quiet you can’t hear due to the other background noise.  Think it is very expensive for what is just some small models and a bit of video. If you have kids don’t bother with this attraction.,"Please DON'T waste your money on this one!!! There's just one room and the different, way-too-loud noises from various corners (including sound of bombs) is hard to bear. NOT suitable for children unless you enjoy your children torture a prisoner since the exposition is sooo interactive... it's terribly superficial, what a sham to pretend people can learn something about history here. My child felt like they're taking the piss when the ""reward"" for discovering miniature princesses was a couple of vouchers! Oh, we were so disappointed with that one room. But the worst was yet to come - they announce that after the history part, there's a room showing ""modern Berlin"". And what do you get see there?! ONE model of the Brandenburg Gate! One building of modern Berlin, that's all! Plus some silly illuminations and the digital guide's saying ""good-bye"" in 6 languages. What a sad trap."
Dockx indoor playground Berlin,3.9,Indoor playground,"Ordensmeisterstraße 1-3, 12099 Berlin, Germany",dockx-berlin.de,"Very nice place for small children. You can buy drinky, coffee... Separate private spaces for birthday parties 👍","Super friendly staff - young man was super helpful and nice to my group of kids. The area is cool and fun. Highly recommend.
Must reserve in advance.","Best place in town for a kid's birthday party! They provided a room for tired kids to take a pause, stocked with chips and sodas, later on we ordered in pizza. The kids all loved it, and the facilities are great.","The worst playground ever.. too expensive comparing to the things you could get.
No hygiene in the toilet.
No food is served.
Drinks expensive too.
It’s not possible to pay with Mastercard under 10 £.
They are simply stingy.","-Poor Air Circulation
-Poor Lightings
-Unclean (Dusts everywhere)
-Type of songs were too loud and wrong genre for KIDS!

********************************************
2.something€ for Adults as entrance and 6.something€ for a day ticket for children, atleast clean the playground and do some dusting, I wouldn't like my child to inhale all those and get allergy.

The size of the indoor playground could have been great, location is also great but everything else were on the poor side.","The place is not good at all for small toddlers like 2 years old...there are not many play options for them and you have to stay for one hour or then it's a day ticket, nothing in between....also you have to pay for carousel ride and car bumper rides...not good value for money"
FEZ-Berlin,4.5,Non-profit organization,"Str. zum FEZ 2, 12459 Berlin, Germany",fez-berlin.de,"Amazing place for the whole family.  Full of facilities for children attractions, artificial lake, forest, activities for children.  It is recommended to take food because the ""restaurants"" are very poor and serves not very friendly.",I and my son were enjoying swimming together and have a lot of fun activities around on the weekends. It's our most choice for outgoing.,"If you want to relax your mind ! This is the beautiful place to be, beautiful nature","(Translated by Google) Today on November 6th, totally looking forward to the FEZ laboratory with 3 children.
Unfortunately, there was a queue of more than 30 minutes almost everywhere, due to a lack of material, no more slime could be made towards the end. Disappointed children, annoyed employees who certainly gave their all within their resources.
500 people planned, over 800 let in (insider of an employee, maybe exaggerated)
That had little to do with a relaxed Sunday!!!!!

Too bad.

(Original)
Heute am 6.11, total gefreut mit 3 Kindern aufs FEZ- Labor.
Leider fast überall über 30 min anstehen, aufgrund von Materialmangel konnte gegen Ende kein Schleim mehr gemacht werden. Enttäuschte Kinder, genervte Mitarbeiter, die innerhalb ihrer Ressourcen bestimmt alles gaben.
500 Menschen geplant, über 800 reingelassen ( insider einer Mitarbeiterin, vielleicht auch überspitzt )
Mit entspanntem Sonntag, hatte das wenig zu tun!!!!!

Schade.","(Translated by Google) This facility reflects the politics of the city.
Kiosks closed, the performance of ""Pippi Longstocking"" doesn't work at all, went with all the children during the break. div. Indoor and outdoor facilities closed .closed. playgrounds

(Original)
Diese Einrichtung spiegelt die Politik der Stadt wieder.
Kioske geschlossen, Aufführung ""Pippi Langstrumpf"" geht gar nicht, sind in der Pause mit allen Kindern gegangen. Div. Indoor -und Outdoor einrichtungen geschlossen .geschlossen. Spielplätze","(Translated by Google) Extremely poor offer, very amateurish... Hardly any gastronomy, except for a restaurant with the charm of the 70s GDR. It is not clear what the entrance fee is for here. Never again.

(Original)
Äußerst dürftiges Angebot, sehr laienhaft... Kaum Gastronomie, außer einem Restaurant mit dem Charme der 70er Jahre DDR. Wofür hier der Eintritt zu zahlen ist, lässt sich nicht erkennen. Nie wieder."
Aquarium Berlin,4.5,Aquarium,"Budapester Str. 32, 10787 Berlin, Germany",aquarium-berlin.de,"That’s a nice aquarium but also simple one! Of course there were some giant fishes and different amphibians, insects, snakes 🐍, but it can have more different kinds of fishes, the environment is nice and also there is tropical part, I will post some of its photos here!
All and all as a scientist both my husband and I enjoyed spending time there! 🥰","the aquarium is soo cool, it has two floors and it’s not that big, but I still enjoyed it. I really liked seeing the chameleon and they have so many beautiful jelly fishes and even sharks 😱 so with the visit.","This is a beautiful place and can be booked together with the zoo. It has beautiful fishes, reptiles, amphibians and insects.
There is also a place to get drinks and snacks",0 Stars because we had to take 30 minutes line waiting for checking the COVID pass that was already checked at the zoo 1 hour earlier with the same ticket!!,"Unhealthy fish,unhealthy environment.. no one cares about the well being of the fish...4 Groupers in 500 lt aquarium..read a book!","Very small aquarium with very narrow compartments for medium and large animals 😢 - Same for the reptiles, it’s very sad
2 stages for insects or reptiles and only 1 for sea animals, why is it called an aquarium ?"
German Museum of Technology,4.6,Technology museum,"Trebbiner Str. 9, 10963 Berlin, Germany",sdtb.de,"It’s huge and fascinating.

First of all, don’t visit this one just because you want to visit a museum. It covers a huge area with real and miniature models of trains, ships, planes etc. You need 3 hours to comfortably explore everything properly.

There is plenty of space to sit and relax so make sure to bring some food with you.","One of the must visit museum in Berlin.
It's very famous museum in Berlin.
1 day will be enough for seeing whole museum.
Museum hosts details about technology used in all the aspects of the life.
There are so many small experiments you can perform in the museum which helps you understand the technology.
You can see the earliest stages of computer which are very huge and occupy size of big room.","This place is like Disneyland for all those who like science and technology,  and even for those who doesn't it's a great place to learn how to like it. From the first computers, to the evolution of airplanes and trains, there's so much to see it that it can that more than one day if you wish to see it all of it.

The place is so amazing that's worth visiting just for the view of the outside area where you can even have a picnic!

Great for kids ans adults likewise and quite cheap for all that it has to offer. My favorite museum in Berlin (I have visited it 3 times already).

It's fairly accessible by train or subway and there's a good restaurant and café inside.",The explainers walked away from us. One suggested for the kids to read texts instead of showing how to use an exhibit. The place is old and not suitable for young kids.,"Café only sells glass bottled water which are closable for 5 euro, and tells you you Can drink it in the museum. Then the museum staff tells you you can only drink the water in special areas because it is a glass bottle. What an absolute joke of an establishment.","Highly disappointed. Most part of museum is closed till 2023 (including first computer, trains and other stuff that I wanted to visit)."
AquaDom & SEA LIFE Berlin,3.9,Tourist attraction,"Spandauer Str. 3, 10178 Berlin, Germany",visitsealife.com,Amazing place especially for kids. Small but with a lot exiting thing to do. AquaDom especially is something you can t see everyday. I definitely recommend this place while you visit Berlin,"Great place to spend some time, especially if you're interested in sea life. The highlight definitely was the AquaDom where you go inside a lift that rises up to be surrounded by a huge fish tank","An oasis of serenity, natur at its finest 👌🏾. Fun for adults and children, my kid loves it so much","For someone that is not into fish might seem OK...I am a hobbyist in aquariums over 15 years and saw a lot of stressed fish,many sick ones and a lot that were oversized for their tanks.. stingrays, groupers and sea breams sick and very big for their tanks..I was disappointed from my visit..Since you are professionals you should know about the specific needs of each fish and give them a nice environment and keep them healthy at least..","Horrible experience. The space for the sea life is limited and in most cases not shielded from the visitors. Nobody from staff is controlling the guests. It results with kids interfering with open tanks, hitting/knocking the glass tanks, screaming aloud. In addition, the place is not looking like the photos present. It is confined, small, cheap, and build to provide the low level quality for the sea life and visitors. Strongly advised to not support.","Super bad, nothing to see just empty aquarium, if you go to Pairi Daiza, KL sea world, Dubai Aqua World or Orlando‘d sea world, a huge disappointment. Not to recommend, honestly don’t waste your time and money"
Science Center Spectrum,4.6,Science museum,"Möckernstraße 26, 10963 Berlin, Germany",technikmuseum.berlin,"If you like science and have not been to this Museum in Berlin, I totally recommend it. Light, Electricity, Magnetism, etc.

It is also very interesting for kids to explain some simple things that they might ask, like why is the sky blue? Etc. I totally see it as a very nice way to get people and kids interested about science.","The science center Spectrum offers an amazing immersive experience into science through simple yet fascinating experiments. 4 floors of experiments organized by topics and a large area with several expositions: history of transportation and communication technologies.

The experiments area is suitable for children of any age.","Amazingly interactive museum where science is made very accessible for everyone. Is also very suitable to bring kids, but is also fun for adults. There are tons of different experiments you can try out, and all for a very low price.",Boring. Explainers walked away from customers. A lot of texts and very old exhibits.,That's museum is just for children. Too boring for adult.,"Sadly we were unable to visit as they wouldn't allow us to take a very small shoulder bag in with us. The staff said to put our rucksack in the locker, which is common and we were happy to do, but then would not allow my partner in with his small shoulder bag which contains his medicines. They said if we didn't put it in a locker we could put his things in a plastic bag that they would give us - this isn't really acceptable, and they gave no explanation for this policy. We had no problem taking his tiny bag around the Technikmuseum next door and had a great time there. I was looking forward to seeing Spectrum afterwards, it's frustrating that they have such bizarre policy on bags and no information displayed about this.
Basically, don't visit the Spectrum Science Centre if you need to keep any of your belongings on you."
